2020-10-21 14:07:38.568 [main] INFO  com.mock.Mock10Application - Starting Mock10Application on admin-PC with PID 34132 (C:\Users\abudongdawei_v\eclipse-workspace\mock-10\target\classes started by abudongdawei_v in C:\Users\abudongdawei_v\eclipse-workspace\mock-10)
2020-10-21 14:07:38.572 [main] INFO  com.mock.Mock10Application - The following profiles are active: dev
2020-10-21 14:07:40.486 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
2020-10-21 14:07:40.520 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
2020-10-21 14:07:40.553 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-10-21 14:07:40.555 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-10-21 14:07:40.570 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.19] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.23]
2020-10-21 14:07:40.571 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.19] using APR version [1.6.5].
2020-10-21 14:07:40.572 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-10-21 14:07:40.573 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-10-21 14:07:40.592 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1a  20 Nov 2018]
2020-10-21 14:07:40.794 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-10-21 14:07:40.794 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2099 ms
2020-10-21 14:07:41.538 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-10-21 14:07:41.868 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
2020-10-21 14:07:42.122 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path ''
2020-10-21 14:07:42.128 [main] INFO  com.mock.Mock10Application - Started Mock10Application in 4.588 seconds (JVM running for 7.579)
2020-10-21 14:08:41.450 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2020-10-21 14:08:41.460 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
